Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-04-15,196.19,199.51,193.86,199.51,537600
2021-04-16,199.12,202.59,196.64,197.83,419538
2021-04-19,201.4,205.56,196.54,197.03,443828
2021-04-20,198.32,200.01,194.65,195.3,289804
2021-04-21,196.19,196.19,190.44,195.15,398685
2021-04-22,196.74,198.03,195.35,195.94,219060
2021-04-23,195.94,199.32,194.01,199.22,482830
2021-04-26,201.7,203.18,199.81,202.88,323164
2021-04-27,204.87,207.25,202.49,204.37,523094
2021-04-28,201.5,205.26,200.01,203.28,411020
2021-04-29,206.26,206.55,198.42,198.42,379396
2021-04-30,199.51,201.6,192.97,192.97,728354
2021-05-04,195.35,198.72,194.11,195.94,407429
2021-05-05,198.82,207.64,198.27,207.64,621534
2021-05-06,208.24,211.71,205.07,209.73,569649
2021-05-07,213.2,222.62,212.31,218.35,916674
2021-05-10,226.19,228.87,215.28,216.67,839836
2021-05-11,217.16,221.92,213.69,219.45,514473
2021-05-12,219.64,221.33,216.67,219.35,359445
2021-05-13,218.16,223.41,213.4,221.92,874473
2021-05-14,221.63,221.92,208.54,210.22,813869
2021-05-17,211.61,213.2,206.36,212.31,482561
2021-05-18,217.26,218.65,211.21,212.21,542280
2021-05-19,207.15,209.03,199.32,200.31,896707
2021-05-20,202.88,204.07,195.25,197.83,911176
2021-05-21,196.09,199.71,193.96,196.34,457368
2021-05-24,196.24,199.41,193.56,197.93,468833
2021-05-25,199.71,200.7,190.09,194.21,919005
2021-05-26,194.8,197.28,192.67,197.13,515007
2021-05-27,197.13,200.01,195.55,198.32,1595407
2021-05-28,198.82,201.79,198.32,201.2,1470058
2021-05-31,202.29,204.77,199.61,200.31,340200
2021-06-01,200.8,209.03,200.8,207.05,592922
2021-06-02,207.15,208.14,203.48,207.74,757838
2021-06-04,202.29,203.18,198.82,202.59,908216
2021-06-07,201.79,201.89,198.62,199.71,563729
2021-06-08,199.02,199.91,196.14,198.42,731044
2021-06-09,198.92,199.32,193.37,193.71,601834
2021-06-10,194.36,198.13,192.72,195.75,592095
2021-06-11,197.83,201.1,196.19,196.19,472069
2021-06-14,195.25,197.18,192.87,195.89,431388
2021-06-15,192.37,193.91,184.49,184.49,1113403
2021-06-16,183.45,185.93,181.02,183.95,879120
2021-06-17,181.47,182.41,175.32,177.45,1159568
2021-06-18,177,181.7,176.55,178.95,1537953
2021-06-21,178,184.8,174.6,183.4,582171
2021-06-22,185,186,181.85,184.95,621357
2021-06-23,188,190.85,183.55,189.5,510880
2021-06-24,186.6,190.6,186.4,189.95,379113
2021-06-25,190,192.55,188.4,189.7,343664
2021-06-28,189,190.2,185.9,187.9,423724
2021-06-29,187.15,187.85,184.1,185.65,450736
2021-06-30,186.25,189.6,184.8,187.65,529039
2021-07-01,188,194.5,187.1,193.4,659725
2021-07-02,193.4,194.25,191,191.15,257802
2021-07-05,192.5,194.8,190.75,191.45,191081
2021-07-06,194.35,194.8,186.5,186.5,261483
2021-07-07,189,193.3,187.65,191.7,361955
2021-07-08,190.6,190.7,183.1,184.8,633624
2021-07-09,185.45,188.85,185.45,187.8,306134
2021-07-12,187.5,187.95,185.5,185.5,272965
2021-07-13,186.6,188.35,185.3,187.4,223272
2021-07-14,186.5,189.55,186.5,187.25,220491
2021-07-15,188,190.35,185.6,189.55,284992
2021-07-16,190.15,190.4,185.3,186.8,182365
