Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-04-15,65.88,67.64,65.74,67.38,1982913
2021-04-16,67.38,67.72,66.38,67.16,972165
2021-04-19,67,67.64,66.1,66.26,988365
2021-04-20,66.38,67.42,65.9,66.2,999486
2021-04-21,65.92,66.6,65.6,66.42,685119
2021-04-22,66.5,67.6,66.5,66.94,1359071
2021-04-23,66.76,66.88,65.72,66.5,920236
2021-04-26,66.68,66.94,65.8,66.76,650857
2021-04-27,66.92,67.06,66.22,66.92,1096936
2021-04-28,67.1,67.36,66.36,67.16,966422
2021-04-29,67.7,68.86,67.5,67.5,1368129
2021-04-30,68.24,68.24,66.7,66.72,895726
2021-05-04,67.18,68.22,66.6,67.12,1549824
2021-05-05,67.64,69.16,67.34,69.06,1291006
2021-05-06,69.3,71,68.42,68.9,2082013
2021-05-07,70,70.4,69.26,70.02,1104632
2021-05-10,70.3,72.5,70.3,71.78,1441014
2021-05-11,71.72,72.3,70.74,72.2,1228740
2021-05-12,72.2,73.96,71.06,73.2,1777537
2021-05-13,72.5,74.44,71.54,74,1988038
2021-05-14,74.74,76.86,74.5,76.46,1510065
2021-05-17,77,77.9,75.48,76.46,1435615
2021-05-18,77.14,77.5,76.3,76.8,1034392
2021-05-19,76.3,76.32,74.56,75.2,1569108
2021-05-20,75.2,76.96,74.8,76.9,859182
2021-05-21,77,77.48,76,76,765829
2021-05-24,76,76.56,75.5,75.7,669121
2021-05-25,76.42,76.42,75.06,76.08,1188767
2021-05-26,76.12,76.76,75.6,76.76,788510
2021-05-27,76.68,78.72,76.16,78.28,2013838
2021-05-28,78.36,79.98,78.36,79.94,981915
2021-05-31,80.12,82.68,79.8,81.8,1053956
2021-06-01,81.8,84.24,81.2,81.68,1242420
2021-06-02,81.7,82.52,80.32,81.18,1021485
2021-06-04,81.46,82.36,80.98,81.54,678206
2021-06-07,81.78,83.34,81.32,81.54,534915
2021-06-08,81.5,81.68,80.38,81,747786
2021-06-09,81.5,81.82,78.9,80.28,1391975
2021-06-10,80,82.78,79.58,82.78,1112111
2021-06-11,82.52,82.6,80.9,81.34,611979
2021-06-14,81.78,83.1,81.58,83.1,709679
2021-06-15,83.42,83.62,81.98,82.38,762763
2021-06-16,82.26,83.34,80.9,80.9,998000
2021-06-17,80.68,82.28,80.5,81.4,865020
2021-06-18,81.24,81.4,77.94,78.52,3055250
2021-06-21,78.32,79.46,76.58,79.08,853056
2021-06-22,80.26,80.78,79.2,79.48,847395
2021-06-23,79.94,80.2,79.54,79.7,484639
2021-06-24,79.98,80.1,78.94,79.84,866538
2021-06-25,79.98,80.4,79.02,79.38,637682
2021-06-28,79.3,79.38,78.62,79,348151
2021-06-29,78.52,78.56,75.72,77,1271108
2021-06-30,77.08,77.5,75.86,76.78,1038005
2021-07-01,76.98,79.18,76.8,77.82,909297
2021-07-02,78.5,79,77.42,77.42,485931
2021-07-05,77.7,78.34,77.42,77.8,446547
2021-07-06,78.1,78.5,75.52,75.68,677512
2021-07-07,75.68,76.3,74.66,75,1422837
2021-07-08,75,75.06,72.32,73.36,1522907
2021-07-09,73.72,74.88,73.04,74.54,1030390
2021-07-12,74.62,75.7,74.06,75.5,698125
2021-07-13,75.8,75.82,74.3,74.42,568645
2021-07-14,75,75.56,74.8,75.28,528446
2021-07-15,74.52,75.5,73.92,74.08,957093
2021-07-16,74.1,74.78,74,74.12,642948
