Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-04-15,0.89,0.9206,0.88,0.885,1977266
2021-04-16,0.9,0.9048,0.87,0.87,2055313
2021-04-19,0.88,0.88,0.8051,0.8099,2337174
2021-04-20,0.805,0.805,0.75,0.75,3124728
2021-04-21,0.741,0.75,0.625,0.65,6320513
2021-04-22,0.6502,0.7867,0.65,0.74,5489757
2021-04-23,0.779,0.7799,0.71,0.7212,1719575
2021-04-26,0.735,0.8893,0.735,0.86,7095833
2021-04-27,0.86,0.875,0.79,0.8,2310825
2021-04-28,0.7902,0.83,0.79,0.819,1187058
2021-04-29,0.829,0.8299,0.801,0.81,779256
2021-04-30,0.803,0.81,0.76,0.78,1565838
2021-05-04,0.79,0.79,0.7311,0.74,1474639
2021-05-05,0.74,0.765,0.7399,0.7597,498813
2021-05-06,0.7502,0.895,0.7413,0.805,2283307
2021-05-07,0.824,0.8398,0.7901,0.8022,563274
2021-05-10,0.8169,0.8695,0.816,0.8419,1059483
2021-05-11,0.8441,0.895,0.825,0.8701,1560334
2021-05-12,0.884,0.89,0.796,0.85,1132980
2021-05-13,0.8252,0.8347,0.7972,0.8159,659680
2021-05-14,0.82,0.822,0.77,0.782,1517330
2021-05-17,0.7802,0.81,0.7611,0.808,905740
2021-05-18,0.8,0.8,0.773,0.7802,416037
2021-05-19,0.7904,0.7948,0.777,0.78,560675
2021-05-20,0.78,0.787,0.7595,0.787,1117242
2021-05-21,0.78,0.79,0.7775,0.7807,353100
2021-05-24,0.7805,0.7893,0.76,0.7611,381280
2021-05-25,0.77,0.7788,0.76,0.76,352708
2021-05-26,0.7599,0.76,0.75,0.752,336144
2021-05-27,0.747,0.7554,0.7303,0.7412,451567
2021-05-28,0.7412,0.7649,0.74,0.746,496188
2021-05-31,0.746,0.76,0.745,0.75,185896
2021-06-01,0.75,0.7785,0.75,0.76,387503
2021-06-02,0.7696,0.7784,0.7602,0.7755,157204
2021-06-04,0.7799,0.79,0.76,0.773,302902
2021-06-07,0.7868,0.7868,0.76,0.762,256028
2021-06-08,0.764,0.768,0.7515,0.7515,193106
2021-06-09,0.7515,0.76,0.7515,0.7525,213368
2021-06-10,0.7593,0.7679,0.75,0.7669,196272
2021-06-11,0.7522,0.7685,0.752,0.76,236844
2021-06-14,0.77,0.772,0.762,0.7653,201448
2021-06-15,0.7755,0.7755,0.7545,0.7687,200808
2021-06-16,0.769,0.769,0.75,0.7598,210757
2021-06-17,0.755,0.755,0.722,0.7335,356897
2021-06-18,0.734,0.7447,0.7221,0.73,282622
2021-06-21,0.74,0.848,0.74,0.8199,3479637
2021-06-22,0.82,0.829,0.7798,0.8,806033
2021-06-23,0.7879,0.7999,0.7501,0.78,730219
2021-06-24,0.78,0.7858,0.75,0.767,519261
2021-06-25,0.7551,0.7748,0.751,0.765,275956
2021-06-28,0.761,0.774,0.7502,0.7737,268338
2021-06-29,0.7736,0.838,0.76,0.7848,1856346
2021-06-30,0.79,0.798,0.7698,0.779,396348
2021-07-01,0.776,0.778,0.759,0.772,454529
2021-07-02,0.7745,0.7769,0.76,0.775,228203
2021-07-05,0.775,0.775,0.7615,0.7736,180629
2021-07-06,0.775,0.8,0.76,0.7695,774674
2021-07-07,0.7694,0.7695,0.761,0.7695,180185
2021-07-08,0.765,0.7695,0.7511,0.769,275625
2021-07-09,0.76,0.7695,0.752,0.76,124296
2021-07-12,0.7511,0.7598,0.74,0.7528,850483
2021-07-13,0.7501,0.7594,0.7457,0.7576,157270
2021-07-14,0.758,0.758,0.744,0.7544,198173
2021-07-15,0.7544,1.0038,0.7415,0.94,16974637
2021-07-16,0.9399,0.957,0.854,0.86,4042295
